product_id,product_name,category,subcategory,brand,price,cost_price,stock_quantity
1,Bluetooth Speaker,Beauty,Skincare,Purelife,738.08,376.66,157
2,4K Monitor,Electronics,Computing,Optima,1262.99,830.16,198
3,Building Blocks,Sports,Team,Purelife,1391.61,876.75,208
4,Self Help Guide,Grocery,Organic,Urbanfit,1300.32,717.65,180
5,Treadmill,Uncategorized,Audio,Vertex,682.62,305.37,264
6,Unnamed Product,Toys,Games,Apex,1271.2,577.85,448
7,Blender,Electronics,Computing,Readwell,35.99,24.74,87
8,Cotton T-Shirt,Automotive,Parts,Readwell,26.09,14.3,66
9,Unnamed Product,Sports,Outdoor,Purelife,902.11,536.01,43
10,Running Shoes,Toys,Vehicles,Purelife,1307.8,707.89,181
11,Laptop Stand,Automotive,Parts,Readwell,13.0,7.12,173
12,Unnamed Product,Automotive,Parts,Speedpro,139.01,92.17,313
13,Fiction Novel,Toys,Vehicles,Greenleaf,777.86,345.83,117
14,Car Polish,Grocery,Organic,Greenleaf,394.02,257.59,443
15,Tennis Racket,Sports,Outdoor,Novatech,144.89,82.77,213
16,Toaster,Clothing,Footwear,Purelife,1153.53,489.46,425
17,Air Freshener,Sports,Fitness,Vertex,683.8,450.61,410
18,Treadmill,Clothing,General,Speedpro,1198.22,581.71,385
19,Winter Jacket,Grocery,Organic,Purelife,185.29,101.33,453
20,Cookbook,Toys,Building,Greenleaf,846.76,503.22,365
21,Tire Cleaner,Automotive,Care,Readwell,793.27,441.79,151
22,Portable Charger,Automotive,Care,Vertex,1376.36,758.42,58
23,Almonds,Home & Kitchen,Decor,Greenleaf,273.42,131.11,494
24,Dress Shirt™,Clothing,Footwear,Speedpro,320.54,221.09,308
25,Science Journal,Office,Supplies,Homecraft,929.65,376.29,496
26,Noise Cancelling Headphones,Home & Kitchen,Appliances,Greenleaf,317.79,138.22,462
27,Olive Oil,Grocery,Pantry,Novatech,1445.97,946.08,221
28,Tire Cleaner,Office,Supplies,Greenleaf,1106.92,462.93,9
29,Dumbbell Set,Sports,Equipment,Urbanfit,832.11,380.82,176
30,Wiper Blades,Beauty,Makeup,Purelife,333.45,213.38,432
31,Chef Knife,Clothing,Accessories,Readwell,427.26,242.28,9
32,Unnamed Product,Home & Kitchen,Appliances,Homecraft,538.77,376.11,401
33,Laptop Stand,Automotive,Maintenance,Greenleaf,1156.28,796.44,386
34,Cable Organizer,Office,Stationery,Readwell,1173.56,737.69,255
35,Standing Desk,Beauty,Fragrance,Greenleaf,235.66,129.97,43
36,Doll House,Books,Non-Fiction,Greenleaf,544.15,301.92,349
37,Noise Cancelling Headphones,Electronics,Audio,Urbanfit,666.65,278.22,323
38,Ballpoint Pens,Toys,Figures,Readwell,1459.12,850.84,75
39,Green Tea,Automotive,Parts,Novatech,967.59,500.24,368
40,Denim Jeans,Automotive,Maintenance,Optima,783.09,369.93,396
41,Puzzle Set,Clothing,Men,Greenleaf,1480.49,919.47,232
42,Rice Cooker,Office,Furniture,Optima,1209.04,521.78,264
43,Shampoo,Home & Kitchen,Decor,Optima,684.18,388.4,398
44,Fiction Novel,Toys,Figures,Greenleaf,878.52,385.51,360
45,Stapler,Books,Children,Speedpro,181.49,92.72,148
46,Winter Jacket,Sports,Team,Readwell,181.01,116.88,250
47,Tennis Racket,Electronics,Displays,Vertex,106.0,46.81,325
48,Green Tea,Home & Kitchen,Storage,Novatech,1002.49,668.67,376
49,Ergonomic Chair,Electronics,Accessories,Novatech,1299.59,723.26,384
50,Usb-C Hub,Automotive,Interior,Apex,184.81,107.57,205
51,Engine Oil,Electronics,Accessories,Apex,1293.64,628.2,93
52,Ergonomic Chair,Toys,Vehicles,Purelife,235.56,160.76,460
53,Cast Iron Pan,Office,Furniture,Speedpro,363.23,148.44,324
54,Usb-C Hub,Office,Stationery,Optima,407.38,281.24,191
55,Sun Glasses,Automotive,Parts,Urbanfit,1174.12,639.49,306
56,Sunscreen,Books,Reference,Urbanfit,1498.86,1048.67,449
57,Wiper Blades,Beauty,Fragrance,Homecraft,1436.33,832.86,8
58,Unnamed Product,Electronics,Displays,Speedpro,19.99,19.99,332
59,Desk Organizer,Grocery,Pantry,Novatech,51.26,26.2,98
60,Blender,Sports,Team,Purelife,1115.99,682.11,310
61,Cast Iron Pan,Toys,Building,Vertex,1476.46,619.53,65
62,Denim Jeans,Office,Furniture,Vertex,393.13,223.31,232
63,Puzzle Set,Electronics,Accessories,Novatech,963.23,450.18,142
64,Desk Organizer,Electronics,Displays,Speedpro,676.04,456.39,100
65,Yoga Mat,Clothing,Men,Apex,98.94,68.04,426
66,Football,Books,Fiction,Novatech,781.9,401.29,455
67,External Ssd 1Tb,Electronics,Displays,Speedpro,1175.05,687.63,210
68,Mechanical Keyboard,Grocery,Organic,Purelife,682.84,295.26,6
69,External Ssd 1Tb,Books,Non-Fiction,Novatech,891.36,439.89,223
70,Moisturizer,Automotive,Interior,Novatech,470.22,303.65,286
71,Puzzle Set,Books,Non-Fiction,Purelife,519.0,295.74,171
72,Doll House,Clothing,Accessories,Greenleaf,496.28,234.1,376
73,Unnamed Product,Toys,Vehicles,Greenleaf,1211.86,697.67,391
74,Noise Cancelling Headphones,Sports,Outdoor,Readwell,302.68,122.98,346
75,Surge Protector,Books,Reference,Vertex,510.87,338.97,33
76,Denim Jeans,Books,Children,Vertex,1193.36,669.05,404
77,Toaster,Sports,Outdoor,Vertex,84.61,46.75,384
78,Notebook,Automotive,Parts,Vertex,564.52,381.82,298
79,Chef Knife,Books,Children,Purelife,333.18,141.74,384
80,Olive Oil,Books,Fiction,Purelife,780.63,318.04,226
81,Portable Charger,Clothing,Footwear,Apex,541.83,305.49,170
82,Football,Sports,Outdoor,Novatech,378.78,183.54,177
83,Remote Control Car,Office,Stationery,Homecraft,1418.98,787.18,402
84,Almonds,Grocery,Snacks,Unknown,1085.14,718.5,156
85,Mechanical Keyboard,Beauty,Fragrance,Vertex,752.19,508.96,78
86,Football,Office,Equipment,Vertex,854.44,505.57,155
87,Unnamed Product,Home & Kitchen,Cookware,Readwell,1013.94,426.86,29
88,Mechanical Keyboard,Toys,Figures,Homecraft,261.87,120.91,221
89,Car Polish,Uncategorized,Supplies,Speedpro,242.37,114.9,168
90,Engine Oil,Office,Stationery,Readwell,693.0,448.39,435
91,Toaster,Office,Equipment,Urbanfit,273.46,160.91,149
92,External Ssd 1Tb,Books,Children,Speedpro,1048.57,498.94,259
93,Unnamed Product,Grocery,Organic,Greenleaf,114.42,48.11,280
94,Unnamed Product,Sports,Outdoor,Novatech,214.67,95.75,183
95,4K Monitor,Automotive,Interior,Apex,1339.56,659.73,26
96,Webcam Hd,Books,Non-Fiction,Apex,1159.74,770.86,408
97,Sun Glasses,Electronics,Displays,Speedpro,1087.39,474.36,109
98,Treadmill,Toys,Games,Vertex,19.99,19.99,111
99,Tire Cleaner,Clothing,Women,Urbanfit,1474.73,870.98,452
100,Air Freshener,Electronics,Displays,Vertex,105.92,46.31,121
101,Unnamed Product,Electronics,Computing,Greenleaf,931.54,464.47,142
102,Laptop Stand,Toys,Games,Homecraft,783.69,477.18,113
103,Sunscreen,Home & Kitchen,Decor,Homecraft,784.59,354.72,281
104,Chef Knife,Clothing,Accessories,Readwell,358.27,247.32,103
105,Air Freshener,Beauty,Makeup,Greenleaf,124.61,81.77,388
106,Science Journal,Home & Kitchen,Appliances,Urbanfit,894.79,410.45,469
107,Mechanical Keyboard,Beauty,Makeup,Vertex,1293.16,860.6,471
108,Wool Scarf,Toys,Games,Novatech,295.36,200.24,376
109,Air Freshener,Beauty,Skincare,Vertex,56.58,33.88,82
110,Ergonomic Chair,Toys,Figures,Readwell,968.36,542.24,453
111,Yoga Mat,Clothing,Men,Speedpro,1102.22,443.01,86
112,Wireless Mouse,Toys,Figures,Apex,149.81,96.52,95
113,Dress Shirt,Books,Reference,Apex,1214.71,623.53,141
114,Noise Cancelling Headphones✓,Grocery,Organic,Novatech,880.53,489.59,492
115,Engine Oil,Beauty,Makeup,Speedpro,712.47,297.22,182
116,Standing Desk,Toys,Vehicles,Greenleaf,9.6,5.74,243
117,Chino Pants,Beauty,Skincare,Greenleaf,9.67,5.65,41
118,Car Polish,Clothing,Accessories,Urbanfit,1480.36,630.82,426
119,Almonds,Grocery,Pantry,Apex,256.23,157.51,82
120,Treadmill,Sports,Outdoor,Greenleaf,1354.45,822.88,446
