product_id,product_name,category,subcategory,brand,price,cost_price,stock_quantity
0001,Bluetooth Speaker,Beauty,Skincare,PureLife,738.08,376.66,157
0002,4K Monitor,Electronics,Computing,Optima,1262.99,830.16,198
3,Building Blocks,Sports,Team,PureLife,1391.61,876.75,208
4,Self Help Guide,Grocery,Organic,UrbanFit,1300.32,717.65,180
5,Treadmill,,Audio,Vertex,682.62,305.37,264
6,,Toys,Games,Apex,1271.2,577.85,448
7,bLENDER,Electronics,Computing,ReadWell,35.99,24.74,87
8,Cotton T-Shirt,Automotive,Parts,ReadWell,26.09,14.3,66
0009,,Sports,Outdoor,PureLife,902.11,536.01,43
10,Running Shoes,Toys,Vehicles,PureLife,1307.8,707.89,181
11,Laptop Stand,Automotive,Parts,ReadWell,13.0,7.12,173
12,,Automotive,Parts,SpeedPro,139.01,92.17,313
13,Fiction Novel,Toys,Vehicles,GreenLeaf,777.86,345.83,117
14,Car Polish,Grocery,Organic,GreenLeaf,394.02,257.59,443
15,Tennis Racket,Sports,Outdoor,NovaTech,144.89,82.77,213
16,Toaster,Clothing,Footwear,PureLife,1153.53,489.46,425
17,Air Freshener,Sports,Fitness,Vertex,683.8,450.61,410
18,Treadmill,Clothing,,SpeedPro,1198.22,581.71,385
19,Winter Jacket,Grocery,Organic,PureLife,185.29,101.33,453
20,Cookbook,Toys,   Building   ,GreenLeaf,846.76,503.22,365
21,Tire Cleaner,Automotive,Care,ReadWell,793.27,441.79,151
22,Portable Charger,Automotive,Care,Vertex,1376.36,758.42,58
23,Almonds,Home & Kitchen,Decor,GreenLeaf,273.42,131.11,494
24,Dress Shirt™,cLOTHING,Footwear,SpeedPro,320.54,221.09,308
25,Science Journal,Office,Supplies,HomeCraft,929.65,376.29,496
26,Noise Cancelling Headphones,Home & Kitchen,Appliances,GreenLeaf,317.79,138.22,462
27,Olive Oil,Grocery,Pantry,NovaTech,1445.97,946.08,221
28,Tire Cleaner,Office,Supplies,GreenLeaf,1106.92,462.93,9
29,Dumbbell Set,Sports,Equipment,UrbanFit,832.11,380.82,176
30,Wiper Blades,Beauty,Makeup,PureLife,333.45,213.38,432
31,Chef Knife,Clothing,Accessories,ReadWell,427.26,242.28,9
