cohort_month,activity_month,cohort_size,active_customers,retention_pct
2022-08,2022-08,10,1,10.0
2022-08,2022-09,10,1,10.0
2022-08,2022-10,10,1,10.0
2022-08,2022-12,10,1,10.0
2022-08,2023-01,10,2,20.0
2022-08,2023-02,10,1,10.0
2022-08,2023-03,10,1,10.0
2022-08,2023-04,10,1,10.0
2022-08,2023-07,10,1,10.0
2022-08,2023-08,10,3,30.0
2022-08,2023-09,10,2,20.0
2022-08,2023-10,10,3,30.0
2022-08,2023-11,10,2,20.0
2022-08,2023-12,10,2,20.0
2022-08,2024-02,10,1,10.0
2022-08,2024-06,10,1,10.0
2022-08,2024-08,10,1,10.0
2022-08,2024-10,10,1,10.0
2022-08,2024-11,10,2,20.0
2022-08,2025-01,10,2,20.0
2022-08,2025-02,10,2,20.0
2022-08,2025-03,10,2,20.0
2022-08,2025-05,10,2,20.0
2022-08,2025-06,10,2,20.0
2022-08,2025-10,10,1,10.0
2022-08,2026-04,10,1,10.0
2022-08,2026-06,10,1,10.0
2022-08,2026-07,10,2,20.0
2022-08,2026-08,10,1,10.0
2022-09,2022-09,9,1,11.11
2022-09,2022-11,9,1,11.11
2022-09,2023-01,9,1,11.11
2022-09,2023-02,9,1,11.11
2022-09,2023-04,9,2,22.22
2022-09,2023-05,9,3,33.33
2022-09,2023-07,9,1,11.11
2022-09,2023-08,9,1,11.11
2022-09,2023-09,9,1,11.11
2022-09,2023-10,9,1,11.11
2022-09,2023-11,9,2,22.22
2022-09,2024-04,9,1,11.11
2022-09,2024-08,9,4,44.44
2022-09,2024-10,9,1,11.11
2022-09,2024-11,9,1,11.11
2022-09,2024-12,9,1,11.11
2022-09,2025-03,9,1,11.11
2022-09,2025-06,9,1,11.11
2022-09,2025-10,9,1,11.11
2022-09,2026-01,9,1,11.11
2022-09,2026-02,9,1,11.11
2022-09,2026-03,9,1,11.11
2022-09,2026-07,9,1,11.11
2022-10,2022-11,10,1,10.0
2022-10,2022-12,10,2,20.0
2022-10,2023-01,10,1,10.0
2022-10,2023-03,10,2,20.0
2022-10,2023-05,10,1,10.0
2022-10,2023-07,10,2,20.0
2022-10,2023-09,10,1,10.0
2022-10,2023-11,10,2,20.0
2022-10,2023-12,10,1,10.0
2022-10,2024-01,10,1,10.0
2022-10,2024-02,10,1,10.0
2022-10,2024-03,10,3,30.0
2022-10,2024-06,10,1,10.0
2022-10,2024-12,10,1,10.0
2022-10,2025-04,10,1,10.0
2022-10,2025-05,10,1,10.0
2022-10,2025-07,10,1,10.0
2022-10,2025-09,10,2,20.0
2022-10,2025-10,10,1,10.0
2022-10,2025-11,10,2,20.0
2022-10,2025-12,10,1,10.0
2022-10,2026-01,10,1,10.0
2022-10,2026-02,10,1,10.0
2022-10,2026-03,10,2,20.0
2022-11,2022-08,21,2,9.52
2022-11,2022-12,21,2,9.52
2022-11,2023-01,21,2,9.52
2022-11,2023-03,21,3,14.29
2022-11,2023-04,21,1,4.76
2022-11,2023-05,21,1,4.76
2022-11,2023-06,21,3,14.29
2022-11,2023-12,21,1,4.76
2022-11,2024-02,21,1,4.76
2022-11,2024-03,21,1,4.76
2022-11,2024-04,21,3,14.29
2022-11,2024-06,21,1,4.76
2022-11,2024-07,21,1,4.76
2022-11,2024-08,21,1,4.76
2022-11,2024-10,21,1,4.76
2022-11,2024-11,21,1,4.76
2022-11,2024-12,21,2,9.52
2022-11,2025-01,21,1,4.76
2022-11,2025-05,21,1,4.76
2022-11,2025-07,21,2,9.52
2022-11,2025-09,21,1,4.76
2022-11,2025-11,21,1,4.76
2022-11,2026-01,21,2,9.52
2022-11,2026-02,21,1,4.76
2022-11,2026-03,21,1,4.76
2022-11,2026-07,21,1,4.76
2022-11,2026-08,21,2,9.52
2022-12,2022-08,16,1,6.25
2022-12,2022-09,16,2,12.5
2022-12,2022-10,16,2,12.5
2022-12,2022-12,16,1,6.25
2022-12,2023-02,16,2,12.5
2022-12,2023-04,16,2,12.5
2022-12,2023-08,16,1,6.25
2022-12,2023-09,16,2,12.5
2022-12,2023-12,16,1,6.25
2022-12,2024-01,16,4,25.0
2022-12,2024-05,16,1,6.25
2022-12,2024-06,16,3,18.75
2022-12,2024-07,16,2,12.5
2022-12,2024-08,16,3,18.75
2022-12,2024-11,16,1,6.25
2022-12,2025-01,16,1,6.25
2022-12,2025-03,16,3,18.75
2022-12,2025-04,16,1,6.25
2022-12,2025-05,16,1,6.25
2022-12,2025-07,16,1,6.25
2022-12,2025-08,16,1,6.25
2022-12,2025-10,16,1,6.25
2022-12,2025-11,16,1,6.25
2022-12,2026-01,16,1,6.25
2022-12,2026-02,16,2,12.5
2022-12,2026-03,16,1,6.25
2022-12,2026-04,16,1,6.25
2022-12,2026-07,16,1,6.25
2022-12,2026-08,16,1,6.25
2023-01,2022-09,23,1,4.35
2023-01,2022-10,23,1,4.35
2023-01,2022-11,23,1,4.35
2023-01,2022-12,23,1,4.35
2023-01,2023-01,23,4,17.39
2023-01,2023-02,23,3,13.04
2023-01,2023-04,23,1,4.35
2023-01,2023-06,23,4,17.39
2023-01,2023-07,23,1,4.35
2023-01,2023-08,23,1,4.35
2023-01,2023-10,23,1,4.35
2023-01,2023-11,23,1,4.35
2023-01,2023-12,23,2,8.7
2023-01,2024-01,23,2,8.7
2023-01,2024-03,23,1,4.35
2023-01,2024-04,23,1,4.35
2023-01,2024-05,23,1,4.35
2023-01,2024-06,23,1,4.35
2023-01,2024-07,23,2,8.7
2023-01,2024-08,23,2,8.7
2023-01,2024-10,23,2,8.7
2023-01,2025-01,23,3,13.04
2023-01,2025-02,23,1,4.35
2023-01,2025-03,23,1,4.35
2023-01,2025-04,23,1,4.35
2023-01,2025-05,23,1,4.35
2023-01,2025-06,23,2,8.7
2023-01,2025-07,23,1,4.35
2023-01,2025-08,23,1,4.35
2023-01,2025-09,23,1,4.35
2023-01,2025-10,23,1,4.35
2023-01,2025-11,23,3,13.04
2023-01,2025-12,23,2,8.7
2023-01,2026-03,23,1,4.35
2023-01,2026-04,23,1,4.35
2023-01,2026-06,23,2,8.7
2023-02,2022-09,12,1,8.33
2023-02,2022-10,12,2,16.67
2023-02,2023-02,12,1,8.33
2023-02,2023-03,12,1,8.33
2023-02,2023-04,12,1,8.33
2023-02,2023-05,12,1,8.33
2023-02,2023-06,12,1,8.33
2023-02,2023-09,12,1,8.33
2023-02,2023-10,12,2,16.67
2023-02,2023-11,12,3,25.0
2023-02,2024-01,12,1,8.33
2023-02,2024-02,12,3,25.0
2023-02,2024-03,12,1,8.33
2023-02,2024-04,12,1,8.33
2023-02,2024-07,12,1,8.33
