customer_id,first_order_value,last_order_value,first_order_date,last_order_date
1,8258.38,8258.38,2024-12-27,2024-12-27
2,10205.4,10205.4,2025-05-02,2025-05-02
3,7195.84,7195.84,2023-05-12,2023-05-12
4,25746.62,25746.62,2026-05-04,2026-05-04
5,13765.58,13765.58,2024-06-24,2024-06-24
6,2767.86,2767.86,2024-02-08,2024-02-08
7,14212.2,14212.2,2023-08-06,2023-08-06
8,19107.45,19107.45,2024-06-14,2024-06-14
9,3162.25,3162.25,2023-04-10,2023-04-10
10,13361.02,13361.02,2025-05-07,2025-05-07
11,8951.17,8951.17,2023-11-30,2023-11-30
12,8018.26,8018.26,2024-08-14,2024-08-14
13,13137.71,13137.71,2025-05-30,2025-05-30
14,4521.52,4521.52,2023-12-06,2023-12-06
15,2665.26,2665.26,2025-04-28,2025-04-28
16,22788.6,22788.6,2023-11-21,2023-11-21
17,2337.36,2337.36,2022-11-20,2022-11-20
18,542.54,542.54,2025-08-03,2025-08-03
19,1497.5,1497.5,2024-02-04,2024-02-04
20,25655.03,25655.03,2026-03-30,2026-03-30
21,5588.29,5588.29,2023-03-06,2023-03-06
22,21408.47,21408.47,2023-10-25,2023-10-25
23,7111.2,7111.2,2026-02-02,2026-02-02
24,20352.77,20352.77,2024-07-16,2024-07-16
25,20181.21,20181.21,2026-04-02,2026-04-02
26,7404.6,7404.6,2025-10-14,2025-10-14
27,4407.76,4407.76,2024-02-11,2024-02-11
28,7565.99,7565.99,2024-12-07,2024-12-07
29,8725.17,8725.17,2024-06-10,2024-06-10
31,16886.29,16886.29,2025-12-23,2025-12-23
32,20265.41,20265.41,2025-07-06,2025-07-06
33,3687.16,3687.16,2023-01-21,2023-01-21
35,25171.76,25171.76,2024-04-28,2024-04-28
36,26952.82,26952.82,2026-02-26,2026-02-26
39,21623.11,21623.11,2025-11-29,2025-11-29
40,5605.84,5605.84,2025-08-16,2025-08-16
41,2071.74,2071.74,2022-11-11,2022-11-11
42,6114.08,6114.08,2024-12-31,2024-12-31
43,3582.92,3582.92,2025-04-07,2025-04-07
44,5920.87,5920.87,2026-02-25,2026-02-25
45,14502.52,14502.52,2022-11-28,2022-11-28
46,28903.49,28903.49,2025-01-27,2025-01-27
47,5343.68,5343.68,2024-10-07,2024-10-07
48,17922.64,17922.64,2026-05-23,2026-05-23
49,2243.82,2243.82,2023-07-28,2023-07-28
50,16389.62,16389.62,2025-11-05,2025-11-05
51,7390.43,7390.43,2024-05-11,2024-05-11
52,4378.4,4378.4,2023-03-17,2023-03-17
53,91.8,91.8,2024-01-10,2024-01-10
54,13583.14,13583.14,2026-01-25,2026-01-25
55,12715.09,12715.09,2024-04-15,2024-04-15
56,5303.2,5303.2,2025-11-20,2025-11-20
57,3260.17,3260.17,2025-11-09,2025-11-09
58,5358.36,5358.36,2025-07-07,2025-07-07
59,10219.55,10219.55,2024-03-16,2024-03-16
60,6193.06,6193.06,2025-01-28,2025-01-28
61,5141.02,5141.02,2023-10-30,2023-10-30
62,448.64,448.64,2026-03-06,2026-03-06
63,3145.15,3145.15,2025-09-23,2025-09-23
64,17901.47,17901.47,2023-03-23,2023-03-23
65,3903.46,3903.46,2025-08-11,2025-08-11
66,18430.03,18430.03,2024-10-19,2024-10-19
67,11014.78,11014.78,2025-04-18,2025-04-18
68,2654.33,2654.33,2025-03-21,2025-03-21
69,6975.68,6975.68,2024-07-08,2024-07-08
70,12072.74,12072.74,2024-03-18,2024-03-18
