month_key,revenue,next_month_revenue,projected_change
2022-08,169315.67,448316.89,279001.22
2022-09,448316.89,505313.09,56996.2
2022-10,505313.09,579426.29,74113.2
2022-11,579426.29,433249.22,-146177.07
2022-12,433249.22,474166.89,40917.67
2023-01,474166.89,492115.69,17948.8
2023-02,492115.69,816988.21,324872.52
2023-03,816988.21,380788.55,-436199.66
2023-04,380788.55,525976.35,145187.8
2023-05,525976.35,500703.19,-25273.16
2023-06,500703.19,358415.29,-142287.9
2023-07,358415.29,500135.71,141720.42
2023-08,500135.71,307886.26,-192249.45
2023-09,307886.26,521257.87,213371.61
2023-10,521257.87,634707.91,113450.04
2023-11,634707.91,551441.51,-83266.4
2023-12,551441.51,467424.66,-84016.85
2024-01,467424.66,559429.75,92005.09
2024-02,559429.75,296840.73,-262589.02
2024-03,296840.73,430576.1,133735.37
2024-04,430576.1,477783.76,47207.66
2024-05,477783.76,517811.95,40028.19
2024-06,517811.95,524887.15,7075.2
2024-07,524887.15,551862.9,26975.75
2024-08,551862.9,600402.95,48540.05
2024-09,600402.95,549644.09,-50758.86
2024-10,549644.09,640227.26,90583.17
2024-11,640227.26,502556.36,-137670.9
2024-12,502556.36,553549.85,50993.49
2025-01,553549.85,405833.2,-147716.65
2025-02,405833.2,583719.19,177885.99
2025-03,583719.19,508531.43,-75187.76
2025-04,508531.43,626468.34,117936.91
2025-05,626468.34,646369.12,19900.78
2025-06,646369.12,667043.61,20674.49
2025-07,667043.61,438000.43,-229043.18
2025-08,438000.43,430189.0,-7811.43
2025-09,430189.0,382707.42,-47481.58
2025-10,382707.42,548115.45,165408.03
2025-11,548115.45,491365.19,-56750.26
2025-12,491365.19,421779.55,-69585.64
2026-01,421779.55,506554.79,84775.24
2026-02,506554.79,418237.13,-88317.66
2026-03,418237.13,415098.22,-3138.91
2026-04,415098.22,473643.95,58545.73
2026-05,473643.95,448831.38,-24812.57
2026-06,448831.38,536338.43,87507.05
2026-07,536338.43,383442.78,-152895.65
2026-08,383442.78,,
