month_key,revenue,moving_avg_3m
2022-08,169315.67,169315.67
2022-09,448316.89,308816.28
2022-10,505313.09,374315.22
2022-11,579426.29,511018.76
2022-12,433249.22,505996.2
2023-01,474166.89,495614.13
2023-02,492115.69,466510.6
2023-03,816988.21,594423.6
2023-04,380788.55,563297.48
2023-05,525976.35,574584.37
2023-06,500703.19,469156.03
2023-07,358415.29,461698.28
2023-08,500135.71,453084.73
2023-09,307886.26,388812.42
2023-10,521257.87,443093.28
2023-11,634707.91,487950.68
2023-12,551441.51,569135.76
2024-01,467424.66,551191.36
2024-02,559429.75,526098.64
2024-03,296840.73,441231.71
2024-04,430576.1,428948.86
2024-05,477783.76,401733.53
2024-06,517811.95,475390.6
2024-07,524887.15,506827.62
2024-08,551862.9,531520.67
2024-09,600402.95,559051.0
2024-10,549644.09,567303.31
2024-11,640227.26,596758.1
2024-12,502556.36,564142.57
2025-01,553549.85,565444.49
2025-02,405833.2,487313.14
2025-03,583719.19,514367.41
2025-04,508531.43,499361.27
2025-05,626468.34,572906.32
2025-06,646369.12,593789.63
2025-07,667043.61,646627.02
2025-08,438000.43,583804.39
2025-09,430189.0,511744.35
2025-10,382707.42,416965.62
2025-11,548115.45,453670.62
2025-12,491365.19,474062.69
2026-01,421779.55,487086.73
2026-02,506554.79,473233.18
2026-03,418237.13,448857.16
2026-04,415098.22,446630.05
2026-05,473643.95,435659.77
2026-06,448831.38,445857.85
2026-07,536338.43,486271.25
2026-08,383442.78,456204.2
