month_key,category,revenue,avg_category_revenue,delta_vs_average
2022-08,Automotive,33358.73,15392.33,17966.4
2022-08,Office,22460.91,15392.33,7068.58
2022-08,Clothing,19111.53,15392.33,3719.2
2022-08,Home & Kitchen,18552.27,15392.33,3159.94
2022-08,Electronics,18041.33,15392.33,2649.0
2022-08,Beauty,15134.57,15392.33,-257.76
2022-08,Sports,11707.62,15392.33,-3684.71
2022-08,Toys,10568.79,15392.33,-4823.54
2022-08,Grocery,8842.34,15392.33,-6549.99
2022-08,Books,6896.04,15392.33,-8496.29
2022-08,Uncategorized,4641.54,15392.33,-10750.79
2022-09,Electronics,71778.2,44831.69,26946.51
2022-09,Books,58648.24,44831.69,13816.55
2022-09,Office,53217.78,44831.69,8386.09
2022-09,Clothing,51769.72,44831.69,6938.03
2022-09,Sports,46469.78,44831.69,1638.09
2022-09,Grocery,43700.23,44831.69,-1131.46
2022-09,Automotive,42714.84,44831.69,-2116.85
2022-09,Home & Kitchen,36791.57,44831.69,-8040.12
2022-09,Beauty,23137.46,44831.69,-21694.23
2022-09,Toys,20089.07,44831.69,-24742.62
2022-10,Toys,86042.81,45937.55,40105.26
2022-10,Electronics,71528.92,45937.55,25591.37
2022-10,Books,61620.94,45937.55,15683.39
2022-10,Home & Kitchen,52903.41,45937.55,6965.86
2022-10,Beauty,51483.99,45937.55,5546.44
2022-10,Clothing,48664.68,45937.55,2727.13
2022-10,Automotive,41078.04,45937.55,-4859.51
2022-10,Grocery,35256.18,45937.55,-10681.37
2022-10,Office,34355.97,45937.55,-11581.58
2022-10,Sports,21787.85,45937.55,-24149.7
2022-10,Uncategorized,590.3,45937.55,-45347.25
2022-11,Toys,80665.2,52675.12,27990.08
2022-11,Beauty,74315.06,52675.12,21639.94
2022-11,Electronics,66228.74,52675.12,13553.62
2022-11,Books,62828.77,52675.12,10153.65
2022-11,Sports,62041.23,52675.12,9366.11
2022-11,Grocery,59554.21,52675.12,6879.09
2022-11,Office,54829.5,52675.12,2154.38
2022-11,Automotive,45998.06,52675.12,-6677.06
2022-11,Clothing,40697.04,52675.12,-11978.08
2022-11,Home & Kitchen,22190.52,52675.12,-30484.6
2022-11,Uncategorized,10077.96,52675.12,-42597.16
2022-12,Automotive,58949.69,43324.92,15624.77
2022-12,Office,52071.12,43324.92,8746.2
2022-12,Beauty,50928.66,43324.92,7603.74
2022-12,Toys,49541.71,43324.92,6216.79
2022-12,Books,49479.94,43324.92,6155.02
2022-12,Electronics,45154.29,43324.92,1829.37
2022-12,Home & Kitchen,40596.88,43324.92,-2728.04
2022-12,Grocery,33968.58,43324.92,-9356.34
2022-12,Sports,32034.13,43324.92,-11290.79
2022-12,Clothing,20524.22,43324.92,-22800.7
2023-01,Electronics,72176.5,47416.69,24759.81
2023-01,Books,62871.19,47416.69,15454.5
2023-01,Grocery,58349.98,47416.69,10933.29
2023-01,Toys,54313.05,47416.69,6896.36
2023-01,Automotive,52571.97,47416.69,5155.28
2023-01,Sports,49199.32,47416.69,1782.63
2023-01,Clothing,36218.47,47416.69,-11198.22
2023-01,Office,32820.77,47416.69,-14595.92
2023-01,Beauty,30925.7,47416.69,-16490.99
2023-01,Home & Kitchen,24719.94,47416.69,-22696.75
2023-02,Electronics,85689.21,44737.79,40951.42
2023-02,Toys,57822.56,44737.79,13084.77
2023-02,Automotive,56414.65,44737.79,11676.86
2023-02,Home & Kitchen,54957.62,44737.79,10219.83
2023-02,Books,48990.62,44737.79,4252.83
2023-02,Clothing,43509.07,44737.79,-1228.72
2023-02,Sports,43163.5,44737.79,-1574.29
2023-02,Beauty,41281.05,44737.79,-3456.74
2023-02,Grocery,31564.34,44737.79,-13173.45
2023-02,Office,17787.24,44737.79,-26950.55
2023-02,Uncategorized,10935.83,44737.79,-33801.96
2023-03,Books,99459.82,74271.66,25188.16
2023-03,Electronics,91254.49,74271.66,16982.83
2023-03,Home & Kitchen,89366.23,74271.66,15094.57
2023-03,Clothing,84429.59,74271.66,10157.93
2023-03,Office,83696.08,74271.66,9424.42
2023-03,Sports,80646.69,74271.66,6375.03
2023-03,Grocery,77749.98,74271.66,3478.32
2023-03,Automotive,74193.18,74271.66,-78.48
2023-03,Toys,69002.66,74271.66,-5269.0
2023-03,Beauty,55004.65,74271.66,-19267.01
2023-03,Uncategorized,12184.84,74271.66,-62086.82
2023-04,Books,53872.73,34617.14,19255.59
2023-04,Electronics,53145.07,34617.14,18527.93
2023-04,Home & Kitchen,44721.25,34617.14,10104.11
2023-04,Office,42346.4,34617.14,7729.26
2023-04,Automotive,38833.73,34617.14,4216.59
2023-04,Clothing,38567.92,34617.14,3950.78
2023-04,Sports,37058.96,34617.14,2441.82
2023-04,Grocery,28696.3,34617.14,-5920.84
2023-04,Toys,21716.74,34617.14,-12900.4
2023-04,Beauty,16258.71,34617.14,-18358.43
2023-04,Uncategorized,5570.74,34617.14,-29046.4
2023-05,Books,79652.99,47816.03,31836.96
2023-05,Toys,69709.1,47816.03,21893.07
2023-05,Beauty,63540.67,47816.03,15724.64
2023-05,Electronics,61624.67,47816.03,13808.64
2023-05,Automotive,54630.34,47816.03,6814.31
2023-05,Office,51085.71,47816.03,3269.68
2023-05,Clothing,40230.52,47816.03,-7585.51
2023-05,Grocery,33252.26,47816.03,-14563.77
2023-05,Home & Kitchen,30325.1,47816.03,-17490.93
2023-05,Sports,29428.47,47816.03,-18387.56
2023-05,Uncategorized,12496.52,47816.03,-35319.51
2023-06,Toys,74713.38,50070.32,24643.06
2023-06,Electronics,69029.04,50070.32,18958.72
2023-06,Home & Kitchen,54099.89,50070.32,4029.57
2023-06,Office,51706.41,50070.32,1636.09
2023-06,Sports,49142.74,50070.32,-927.58
2023-06,Grocery,47207.63,50070.32,-2862.69
2023-06,Automotive,45998.21,50070.32,-4072.11
2023-06,Books,45529.88,50070.32,-4540.44
2023-06,Beauty,40852.44,50070.32,-9217.88
2023-06,Clothing,22423.57,50070.32,-27646.75
2023-07,Books,57948.12,32583.21,25364.91
2023-07,Toys,49608.36,32583.21,17025.15
2023-07,Sports,48736.47,32583.21,16153.26
2023-07,Clothing,39152.83,32583.21,6569.62
2023-07,Office,35141.49,32583.21,2558.28
2023-07,Home & Kitchen,32398.78,32583.21,-184.43
2023-07,Electronics,25657.8,32583.21,-6925.41
2023-07,Grocery,24769.93,32583.21,-7813.28
2023-07,Automotive,22990.97,32583.21,-9592.24
2023-07,Beauty,20519.44,32583.21,-12063.77
2023-07,Uncategorized,1491.1,32583.21,-31092.11
2023-08,Electronics,69082.98,45466.88,23616.1
2023-08,Books,65195.23,45466.88,19728.35
2023-08,Toys,63389.18,45466.88,17922.3
2023-08,Office,62353.08,45466.88,16886.2
2023-08,Clothing,53307.29,45466.88,7840.41
2023-08,Beauty,44076.94,45466.88,-1389.94
2023-08,Automotive,43725.83,45466.88,-1741.05
2023-08,Home & Kitchen,37522.23,45466.88,-7944.65
2023-08,Sports,28349.66,45466.88,-17117.22
2023-08,Grocery,21462.42,45466.88,-24004.46
2023-08,Uncategorized,11670.87,45466.88,-33796.01
2023-09,Electronics,45237.88,27989.66,17248.22
2023-09,Books,44109.65,27989.66,16119.99
2023-09,Beauty,43516.71,27989.66,15527.05
2023-09,Clothing,42296.85,27989.66,14307.19
2023-09,Toys,28600.0,27989.66,610.34
2023-09,Office,27662.08,27989.66,-327.58
2023-09,Grocery,26053.75,27989.66,-1935.91
2023-09,Automotive,22916.96,27989.66,-5072.7
2023-09,Home & Kitchen,20157.99,27989.66,-7831.67
2023-09,Sports,3882.23,27989.66,-24107.43
2023-09,Uncategorized,3452.16,27989.66,-24537.5
2023-10,Books,84936.1,47387.08,37549.02
2023-10,Sports,69259.8,47387.08,21872.72
2023-10,Automotive,62814.1,47387.08,15427.02
2023-10,Electronics,57332.83,47387.08,9945.75
2023-10,Toys,52227.62,47387.08,4840.54
2023-10,Home & Kitchen,50269.73,47387.08,2882.65
2023-10,Clothing,49426.59,47387.08,2039.51
2023-10,Office,36767.09,47387.08,-10619.99
2023-10,Beauty,35128.16,47387.08,-12258.92
2023-10,Grocery,21930.11,47387.08,-25456.97
2023-10,Uncategorized,1165.74,47387.08,-46221.34
2023-11,Clothing,93147.44,63470.79,29676.65
2023-11,Electronics,79461.96,63470.79,15991.17
2023-11,Home & Kitchen,75787.2,63470.79,12316.41
2023-11,Toys,68585.45,63470.79,5114.66
2023-11,Books,63001.01,63470.79,-469.78
2023-11,Automotive,55876.73,63470.79,-7594.06
2023-11,Office,55393.38,63470.79,-8077.41
2023-11,Beauty,53900.23,63470.79,-9570.56
2023-11,Sports,51403.49,63470.79,-12067.3
2023-11,Grocery,38151.02,63470.79,-25319.77
2023-12,Beauty,92717.17,50131.05,42586.12
2023-12,Electronics,86175.19,50131.05,36044.14
2023-12,Grocery,67359.27,50131.05,17228.22
2023-12,Sports,60123.59,50131.05,9992.54
2023-12,Automotive,59827.12,50131.05,9696.07
2023-12,Office,50716.65,50131.05,585.6
2023-12,Home & Kitchen,38930.33,50131.05,-11200.72
2023-12,Clothing,36134.43,50131.05,-13996.62
2023-12,Toys,32766.71,50131.05,-17364.34
2023-12,Books,21330.6,50131.05,-28800.45
2023-12,Uncategorized,5360.45,50131.05,-44770.6
2024-01,Home & Kitchen,70685.49,42493.15,28192.34
2024-01,Office,69733.76,42493.15,27240.61
2024-01,Beauty,50682.6,42493.15,8189.45
2024-01,Automotive,44419.71,42493.15,1926.56
2024-01,Grocery,43099.22,42493.15,606.07
2024-01,Sports,43025.04,42493.15,531.89
2024-01,Electronics,42115.03,42493.15,-378.12
2024-01,Toys,41055.82,42493.15,-1437.33
2024-01,Books,28532.8,42493.15,-13960.35
2024-01,Clothing,27599.08,42493.15,-14894.07
2024-01,Uncategorized,6476.11,42493.15,-36017.04
2024-02,Electronics,112494.33,50857.25,61637.08
2024-02,Toys,79601.92,50857.25,28744.67
2024-02,Books,72772.04,50857.25,21914.79
2024-02,Sports,56003.33,50857.25,5146.08
2024-02,Automotive,47340.19,50857.25,-3517.06
2024-02,Clothing,46458.73,50857.25,-4398.52
2024-02,Grocery,38093.72,50857.25,-12763.53
2024-02,Home & Kitchen,37083.52,50857.25,-13773.73
2024-02,Office,36890.54,50857.25,-13966.71
2024-02,Beauty,31526.4,50857.25,-19330.85
2024-02,Uncategorized,1165.03,50857.25,-49692.22
2024-03,Office,53480.7,26985.52,26495.18
2024-03,Sports,42376.39,26985.52,15390.87
2024-03,Beauty,38098.77,26985.52,11113.25
2024-03,Home & Kitchen,29458.11,26985.52,2472.59
2024-03,Electronics,26486.95,26985.52,-498.57
2024-03,Clothing,26391.65,26985.52,-593.87
2024-03,Toys,26110.19,26985.52,-875.33
2024-03,Books,23899.04,26985.52,-3086.48
2024-03,Automotive,22652.95,26985.52,-4332.57
2024-03,Grocery,7667.93,26985.52,-19317.59
2024-03,Uncategorized,218.05,26985.52,-26767.47
2024-04,Toys,57098.79,39143.28,17955.51
2024-04,Clothing,52033.69,39143.28,12890.41
2024-04,Books,52014.16,39143.28,12870.88
2024-04,Beauty,49734.65,39143.28,10591.37
2024-04,Sports,46962.96,39143.28,7819.68
2024-04,Electronics,45468.97,39143.28,6325.69
2024-04,Office,45373.58,39143.28,6230.3
2024-04,Grocery,31536.44,39143.28,-7606.84
2024-04,Home & Kitchen,27064.37,39143.28,-12078.91
2024-04,Automotive,16572.8,39143.28,-22570.48
2024-04,Uncategorized,6715.69,39143.28,-32427.59
2024-05,Electronics,93495.57,47778.38,45717.19
2024-05,Clothing,67425.86,47778.38,19647.48
2024-05,Office,63319.92,47778.38,15541.54
2024-05,Toys,55889.45,47778.38,8111.07
2024-05,Sports,55189.99,47778.38,7411.61
2024-05,Beauty,44836.03,47778.38,-2942.35
2024-05,Grocery,44498.25,47778.38,-3280.13
2024-05,Automotive,23809.75,47778.38,-23968.63
2024-05,Books,18165.46,47778.38,-29612.92
2024-05,Home & Kitchen,11153.48,47778.38,-36624.9
2024-06,Toys,76168.93,47073.81,29095.12
2024-06,Electronics,73439.64,47073.81,26365.83
2024-06,Office,69581.34,47073.81,22507.53
2024-06,Sports,60723.97,47073.81,13650.16
2024-06,Beauty,52942.38,47073.81,5868.57
2024-06,Books,38342.85,47073.81,-8730.96
2024-06,Home & Kitchen,36407.4,47073.81,-10666.41
2024-06,Automotive,34170.17,47073.81,-12903.64
2024-06,Grocery,33810.49,47073.81,-13263.32
2024-06,Clothing,33792.54,47073.81,-13281.27
2024-06,Uncategorized,8432.24,47073.81,-38641.57
2024-07,Toys,99718.83,47717.01,52001.82
2024-07,Grocery,69880.64,47717.01,22163.63
2024-07,Office,66401.26,47717.01,18684.25
2024-07,Clothing,64254.42,47717.01,16537.41
2024-07,Books,54746.47,47717.01,7029.46
2024-07,Electronics,50279.41,47717.01,2562.4
2024-07,Sports,42946.38,47717.01,-4770.63
2024-07,Beauty,32871.15,47717.01,-14845.86
2024-07,Home & Kitchen,24218.89,47717.01,-23498.12
2024-07,Automotive,18254.96,47717.01,-29462.05
2024-07,Uncategorized,1314.74,47717.01,-46402.27
2024-08,Office,70960.42,50169.35,20791.07
2024-08,Toys,67799.06,50169.35,17629.71
2024-08,Electronics,62697.57,50169.35,12528.22
2024-08,Clothing,61285.22,50169.35,11115.87
2024-08,Books,53078.3,50169.35,2908.95
2024-08,Grocery,53022.23,50169.35,2852.88
2024-08,Sports,51278.75,50169.35,1109.4
2024-08,Automotive,46356.37,50169.35,-3812.98
2024-08,Beauty,43596.58,50169.35,-6572.77
2024-08,Home & Kitchen,40354.59,50169.35,-9814.76
