cohort_month,total_customers,month_offset,active_customers,retention_pct
2022-08,21,0,21,100.0
2022-08,21,1,4,19.05
2022-08,21,2,2,9.52
2022-08,21,4,1,4.76
2022-08,21,5,1,4.76
2022-08,21,6,1,4.76
2022-08,21,7,2,9.52
2022-08,21,10,1,4.76
2022-08,21,12,3,14.29
2022-08,21,13,3,14.29
2022-08,21,14,3,14.29
2022-08,21,15,2,9.52
2022-08,21,18,2,9.52
2022-08,21,19,3,14.29
2022-08,21,20,3,14.29
2022-08,21,21,2,9.52
2022-08,21,22,2,9.52
2022-08,21,23,1,4.76
2022-08,21,24,2,9.52
2022-08,21,25,4,19.05
2022-08,21,26,1,4.76
2022-08,21,28,1,4.76
2022-08,21,29,1,4.76
2022-08,21,31,2,9.52
2022-08,21,33,1,4.76
2022-08,21,34,4,19.05
2022-08,21,35,2,9.52
2022-08,21,36,1,4.76
2022-08,21,38,2,9.52
2022-08,21,39,1,4.76
2022-08,21,41,1,4.76
2022-08,21,42,1,4.76
2022-08,21,43,1,4.76
2022-08,21,44,3,14.29
2022-08,21,46,2,9.52
2022-08,21,47,2,9.52
2022-08,21,48,2,9.52
2022-09,39,0,39,100.0
2022-09,39,1,1,2.56
2022-09,39,2,6,15.38
2022-09,39,4,2,5.13
2022-09,39,6,3,7.69
2022-09,39,8,2,5.13
2022-09,39,9,2,5.13
2022-09,39,10,3,7.69
2022-09,39,11,3,7.69
2022-09,39,12,1,2.56
2022-09,39,13,3,7.69
2022-09,39,14,3,7.69
2022-09,39,15,3,7.69
2022-09,39,17,2,5.13
2022-09,39,18,2,5.13
2022-09,39,19,2,5.13
2022-09,39,20,3,7.69
2022-09,39,21,1,2.56
2022-09,39,22,3,7.69
2022-09,39,23,5,12.82
2022-09,39,24,1,2.56
2022-09,39,26,3,7.69
2022-09,39,27,1,2.56
2022-09,39,28,3,7.69
2022-09,39,29,1,2.56
2022-09,39,30,4,10.26
2022-09,39,31,4,10.26
2022-09,39,32,5,12.82
2022-09,39,33,5,12.82
2022-09,39,35,4,10.26
2022-09,39,36,1,2.56
2022-09,39,37,5,12.82
2022-09,39,39,1,2.56
2022-09,39,40,1,2.56
2022-09,39,41,3,7.69
2022-09,39,42,1,2.56
2022-09,39,43,1,2.56
2022-09,39,44,1,2.56
2022-09,39,45,2,5.13
2022-09,39,46,6,15.38
2022-09,39,47,3,7.69
2022-10,45,0,45,100.0
2022-10,45,2,2,4.44
2022-10,45,3,1,2.22
2022-10,45,4,4,8.89
2022-10,45,5,5,11.11
2022-10,45,6,4,8.89
2022-10,45,7,5,11.11
2022-10,45,8,4,8.89
