year,month,month_key,order_count,revenue
2022,08,2022-08,21,169315.67
2022,09,2022-09,43,448316.89
2022,10,2022-10,49,505313.09
2022,11,2022-11,54,579426.29
2022,12,2022-12,37,433249.22
2023,01,2023-01,47,474166.89
2023,02,2023-02,45,492115.69
2023,03,2023-03,63,816988.21
2023,04,2023-04,36,380788.55
2023,05,2023-05,49,525976.35
2023,06,2023-06,46,500703.19
2023,07,2023-07,37,358415.29
2023,08,2023-08,41,500135.71
2023,09,2023-09,31,307886.26
2023,10,2023-10,44,521257.87
2023,11,2023-11,55,634707.91
2023,12,2023-12,52,551441.51
2024,01,2024-01,40,467424.66
2024,02,2024-02,44,559429.75
2024,03,2024-03,33,296840.73
2024,04,2024-04,46,430576.1
2024,05,2024-05,44,477783.76
2024,06,2024-06,45,517811.95
2024,07,2024-07,43,524887.15
2024,08,2024-08,56,551862.9
2024,09,2024-09,49,600402.95
2024,10,2024-10,45,549644.09
2024,11,2024-11,54,640227.26
2024,12,2024-12,50,502556.36
2025,01,2025-01,56,553549.85
2025,02,2025-02,39,405833.2
2025,03,2025-03,53,583719.19
2025,04,2025-04,47,508531.43
2025,05,2025-05,48,626468.34
2025,06,2025-06,54,646369.12
2025,07,2025-07,63,667043.61
2025,08,2025-08,37,438000.43
2025,09,2025-09,39,430189.0
2025,10,2025-10,40,382707.42
2025,11,2025-11,53,548115.45
2025,12,2025-12,46,491365.19
2026,01,2026-01,39,421779.55
2026,02,2026-02,48,506554.79
2026,03,2026-03,41,418237.13
2026,04,2026-04,35,415098.22
2026,05,2026-05,38,473643.95
2026,06,2026-06,41,448831.38
2026,07,2026-07,48,536338.43
2026,08,2026-08,44,383442.78
