customer_id,order_id,order_date,status
1,1227,2026-04-08,DELIVERED
2,3012,2026-07-17,PENDING
3,1647,2026-07-20,PROCESSING
4,3367,2026-06-16,DELIVERED
5,371,2024-06-24,PENDING
6,2195,2026-06-16,REFUNDED
7,1880,2025-04-15,RETURNED
8,2210,2026-03-02,PROCESSING
9,3114,2026-04-07,PENDING
10,3080,2025-10-20,DELIVERED
11,1954,2023-11-30,SHIPPED
12,2314,2026-07-28,CANCELLED
13,2408,2026-08-10,RETURNED
14,3295,2026-05-09,PENDING
15,3205,2026-06-10,PROCESSING
16,2430,2025-05-07,SHIPPED
17,1170,2026-05-27,REFUNDED
18,65,2025-08-03,RETURNED
19,2853,2025-12-09,PROCESSING
20,807,2026-03-30,PROCESSING
21,608,2023-03-06,PENDING
22,2702,2024-09-13,CANCELLED
23,28,2026-02-02,RETURNED
24,1643,2026-04-22,PROCESSING
25,2250,2026-08-10,DELIVERED
26,268,2025-10-14,DELIVERED
27,726,2026-05-30,SHIPPED
28,2843,2025-07-13,RETURNED
29,382,2026-03-26,REFUNDED
31,3465,2026-05-07,PROCESSING
32,3397,2026-06-03,RETURNED
33,3082,2025-11-14,PROCESSING
34,1758,2025-12-04,CANCELLED
35,2428,2026-02-27,DELIVERED
36,104,2026-02-26,PENDING
39,3242,2025-12-14,REFUNDED
40,47,2026-02-27,CANCELLED
41,3204,2024-10-17,SHIPPED
42,1801,2025-11-29,CANCELLED
43,1854,2025-04-18,PROCESSING
44,2683,2026-02-25,PENDING
45,2399,2023-01-26,PENDING
46,2347,2025-01-27,PROCESSING
47,2896,2025-10-12,DELIVERED
48,81,2026-05-23,RETURNED
49,1538,2025-10-17,PENDING
50,1564,2026-01-01,RETURNED
51,2311,2026-05-09,PROCESSING
52,502,2026-01-26,RETURNED
53,2806,2024-12-13,RETURNED
54,1286,2026-01-25,SHIPPED
55,2852,2025-11-07,CANCELLED
56,1324,2025-11-20,PROCESSING
57,1748,2026-07-13,PENDING
58,1209,2025-11-09,CANCELLED
59,1730,2024-03-16,DELIVERED
60,536,2025-01-28,PENDING
61,3299,2024-10-19,SHIPPED
62,2146,2026-04-22,REFUNDED
63,1614,2025-09-23,REFUNDED
64,884,2026-02-04,REFUNDED
65,758,2025-08-11,SHIPPED
66,1598,2025-02-20,PENDING
67,991,2026-02-25,PROCESSING
68,254,2026-07-12,REFUNDED
69,747,2025-07-19,PROCESSING
70,3086,2025-06-03,PENDING
71,2037,2025-07-20,PROCESSING
72,1302,2026-08-10,REFUNDED
73,1026,2025-07-09,REFUNDED
74,1036,2026-03-08,CANCELLED
75,2299,2025-10-22,REFUNDED
76,2788,2026-07-10,PROCESSING
77,3433,2025-09-28,DELIVERED
79,971,2025-12-19,PENDING
80,2805,2025-08-20,REFUNDED
81,497,2025-04-08,RETURNED
82,868,2025-12-15,RETURNED
83,688,2024-12-23,PENDING
84,1011,2026-01-25,DELIVERED
85,1422,2026-04-26,REFUNDED
86,2149,2026-05-25,PENDING
87,897,2024-11-05,PENDING
88,1202,2025-12-07,SHIPPED
89,1193,2025-07-31,PROCESSING
90,1612,2023-07-03,PROCESSING
91,2827,2025-02-23,RETURNED
92,472,2026-07-19,PENDING
93,1199,2026-01-30,CANCELLED
94,2887,2026-06-09,REFUNDED
95,1848,2024-02-18,REFUNDED
96,813,2026-05-12,CANCELLED
97,1258,2024-10-07,PROCESSING
98,3056,2025-04-12,DELIVERED
99,2694,2026-06-18,RETURNED
100,1678,2025-10-16,REFUNDED
101,165,2025-03-12,PENDING
102,2224,2026-05-26,SHIPPED
103,1325,2026-04-01,REFUNDED
104,2243,2025-12-31,PROCESSING
105,2091,2026-06-25,PENDING
106,1117,2026-07-28,CANCELLED
107,907,2024-11-08,CANCELLED
108,189,2023-11-19,RETURNED
109,1979,2025-06-28,CANCELLED
110,1547,2026-08-10,CANCELLED
111,1435,2024-06-18,RETURNED
112,2156,2026-05-24,RETURNED
113,1379,2026-03-26,SHIPPED
114,1045,2025-03-07,RETURNED
115,1744,2026-08-03,REFUNDED
116,3395,2026-04-18,PENDING
117,59,2026-03-01,PENDING
118,1505,2025-06-13,CANCELLED
119,672,2025-12-14,REFUNDED
120,2983,2026-04-01,PROCESSING
121,2527,2024-08-15,CANCELLED
122,1662,2026-07-06,CANCELLED
123,3020,2025-02-19,REFUNDED
124,3361,2026-02-15,PROCESSING
125,1216,2026-07-08,PROCESSING
126,2440,2025-02-16,CANCELLED
127,2986,2026-05-08,REFUNDED
128,1274,2025-02-12,PENDING
129,2724,2026-03-15,PENDING
130,3467,2026-08-04,REFUNDED
131,417,2025-07-24,REFUNDED
132,850,2026-08-10,PENDING
133,1807,2025-05-20,PROCESSING
134,1900,2025-12-23,REFUNDED
135,3401,2026-05-16,SHIPPED
136,3185,2025-02-15,DELIVERED
137,2591,2025-06-10,RETURNED
138,1341,2026-01-19,PENDING
139,2944,2024-05-29,SHIPPED
141,215,2024-03-02,CANCELLED
143,1020,2025-09-09,REFUNDED
144,2019,2025-11-30,DELIVERED
145,919,2026-03-19,DELIVERED
146,3099,2026-05-08,CANCELLED
147,1145,2026-08-10,PENDING
148,1102,2026-08-06,RETURNED
149,1648,2025-12-30,PROCESSING
150,3405,2025-09-08,REFUNDED
151,2345,2026-08-07,PROCESSING
152,1876,2025-07-26,DELIVERED
153,120,2025-01-11,SHIPPED
154,1878,2026-06-02,DELIVERED
155,1563,2026-03-24,PENDING
156,828,2026-05-11,DELIVERED
157,3314,2026-03-26,RETURNED
158,926,2026-07-20,DELIVERED
159,3300,2026-04-11,PROCESSING
160,3220,2026-01-16,REFUNDED
161,3481,2025-10-01,CANCELLED
162,499,2026-05-05,PENDING
163,1925,2026-04-22,PROCESSING
165,2220,2023-12-31,DELIVERED
166,572,2026-05-08,DELIVERED
167,770,2026-08-10,REFUNDED
168,2835,2025-10-09,RETURNED
169,177,2024-04-17,CANCELLED
170,1961,2026-02-27,DELIVERED
171,258,2026-05-07,SHIPPED
172,2385,2026-01-17,PENDING
173,2731,2025-07-21,CANCELLED
174,1215,2026-01-07,PENDING
175,557,2026-07-04,DELIVERED
176,205,2026-07-18,DELIVERED
177,766,2025-09-12,REFUNDED
178,1338,2026-06-13,CANCELLED
179,830,2023-10-16,SHIPPED
180,923,2025-01-19,SHIPPED
182,2009,2026-07-17,SHIPPED
183,218,2023-09-02,SHIPPED
