month_key,monthly_revenue,running_total
2022-08,169315.67,169315.67
2022-09,448316.89,617632.56
2022-10,505313.09,1122945.65
2022-11,579426.29,1702371.94
2022-12,433249.22,2135621.16
2023-01,474166.89,2609788.05
2023-02,492115.69,3101903.74
2023-03,816988.21,3918891.95
2023-04,380788.55,4299680.5
2023-05,525976.35,4825656.85
2023-06,500703.19,5326360.04
2023-07,358415.29,5684775.33
2023-08,500135.71,6184911.04
2023-09,307886.26,6492797.3
2023-10,521257.87,7014055.17
2023-11,634707.91,7648763.08
2023-12,551441.51,8200204.59
2024-01,467424.66,8667629.25
2024-02,559429.75,9227059.0
2024-03,296840.73,9523899.73
2024-04,430576.1,9954475.83
2024-05,477783.76,10432259.59
2024-06,517811.95,10950071.54
2024-07,524887.15,11474958.69
2024-08,551862.9,12026821.59
2024-09,600402.95,12627224.54
2024-10,549644.09,13176868.63
2024-11,640227.26,13817095.89
2024-12,502556.36,14319652.25
2025-01,553549.85,14873202.1
2025-02,405833.2,15279035.3
2025-03,583719.19,15862754.49
2025-04,508531.43,16371285.92
2025-05,626468.34,16997754.26
2025-06,646369.12,17644123.38
2025-07,667043.61,18311166.99
2025-08,438000.43,18749167.42
2025-09,430189.0,19179356.42
2025-10,382707.42,19562063.84
2025-11,548115.45,20110179.29
2025-12,491365.19,20601544.48
2026-01,421779.55,21023324.03
2026-02,506554.79,21529878.82
2026-03,418237.13,21948115.95
2026-04,415098.22,22363214.17
2026-05,473643.95,22836858.12
2026-06,448831.38,23285689.5
2026-07,536338.43,23822027.93
2026-08,383442.78,24205470.71
