product_a_id,product_a,product_b_id,product_b,times_bought_together
343,Shampoo,463,Kettle,4
2,4K Monitor,346,Cotton T-Shirt,3
11,Laptop Stand,33,Laptop Stand,3
17,Air Freshener,27,Olive Oil,3
18,Treadmill,26,Noise Cancelling Headphones,3
21,Tire Cleaner,248,Paper Clips,3
33,Laptop Stand,472,Leather Belt,3
35,Standing Desk,268,Portable Charger,3
36,Doll House,94,Unnamed Product,3
36,Doll House,369,Air Freshener,3
48,Green Tea,93,Unnamed Product,3
49,Ergonomic Chair,431,Self Help Guide,3
52,Ergonomic Chair,232,Standing Desk,3
58,Unnamed Product,441,Treadmill,3
61,Cast Iron Pan,198,Cotton T-Shirt,3
63,Puzzle Set,99,Tire Cleaner,3
75,Surge Protector,401,External Ssd 1Tb,3
83,Remote Control Car,456,Unnamed Product,3
88,Mechanical Keyboard,158,Chino Pants,3
92,External Ssd 1Tb,325,Kettleñ,3
93,Unnamed Product,479,Noise Cancelling Headphones,3
94,Unnamed Product,109,Air Freshener,3
114,Noise Cancelling Headphones✓,259,Tennis Racket,3
114,Noise Cancelling Headphones✓,271,Desk Lamp,3
129,Organic Rice,138,Ergonomic Chair,3
144,Desk Organizer,146,Building Blocks,3
144,Desk Organizer,381,Winter Jacket,3
148,Olive Oil,207,Unnamed Product,3
173,Car Polish,417,Desk Organizer,3
175,Wool Scarf,395,Portable Charger,3
178,Portable Charger,455,Self Help Guide✓,3
185,Olive Oil,241,Honey Jar,3
188,Cable Organizer,198,Cotton T-Shirt,3
199,Doll House,482,Noise Cancelling Headphones,3
200,Building Blocks,478,Ergonomic Chair,3
203,Sunscreen,207,Unnamed Product,3
216,Science Journal,316,Wiper Blades,3
221,Organic Rice,278,Olive Oil,3
238,Science Journal,409,Shampoo,3
244,Rice Cooker,456,Unnamed Product,3
246,Noise Cancelling Headphones,373,Unnamed Product,3
253,Organic Rice,451,Treadmill,3
279,Moisturizer,479,Noise Cancelling Headphones,3
309,Self Help Guide,330,Dumbbell Set,3
314,4K Monitor,373,Unnamed Product,3
351,Cookbook,456,Unnamed Product,3
355,Perfume,414,Biography,3
403,Stapler,499,Lipstick,3
1,Bluetooth Speaker,170,Portable Charger,2
1,Bluetooth Speaker,322,Almonds,2
