E-Commerce Order Analytics System - Cleaning Report
============================================================
Generated: 2026-08-10 02:16:44
Total issues found: 47

Summary by entity:
  order_items    38
  orders         8
  customers      1

Entity         Row ID   Field              Issue
------------------------------------------------------------
customers      17       email              invalid email format
orders         None     customer_id        6 rows missing customer_id
orders         3        customer_id        customer_id has no matching customer
orders         7        customer_id        customer_id has no matching customer
orders         23       customer_id        customer_id has no matching customer
orders         62       customer_id        customer_id has no matching customer
orders         72       customer_id        customer_id has no matching customer
orders         75       customer_id        customer_id has no matching customer
orders         102      customer_id        customer_id has no matching customer
order_items    9        order_id           order_id has no matching order
order_items    10       order_id           order_id has no matching order
order_items    11       order_id           order_id has no matching order
order_items    12       order_id           order_id has no matching order
order_items    24       order_id           order_id has no matching order
order_items    25       order_id           order_id has no matching order
order_items    26       order_id           order_id has no matching order
order_items    27       order_id           order_id has no matching order
order_items    73       order_id           order_id has no matching order
order_items    74       order_id           order_id has no matching order
order_items    75       order_id           order_id has no matching order
order_items    132      order_id           order_id has no matching order
order_items    133      order_id           order_id has no matching order
order_items    134      order_id           order_id has no matching order
order_items    135      order_id           order_id has no matching order
order_items    136      order_id           order_id has no matching order
order_items    137      order_id           order_id has no matching order
order_items    138      order_id           order_id has no matching order
order_items    162      order_id           order_id has no matching order
order_items    163      order_id           order_id has no matching order
order_items    210      order_id           order_id has no matching order
order_items    211      order_id           order_id has no matching order
order_items    212      order_id           order_id has no matching order
order_items    218      order_id           order_id has no matching order
order_items    219      order_id           order_id has no matching order
order_items    255      order_id           order_id has no matching order
order_items    256      order_id           order_id has no matching order
order_items    263      order_id           order_id has no matching order
order_items    264      order_id           order_id has no matching order
order_items    265      order_id           order_id has no matching order
order_items    266      order_id           order_id has no matching order
order_items    267      order_id           order_id has no matching order
order_items    268      order_id           order_id has no matching order
order_items    232      product_id         product_id has no matching product
order_items    None     quantity           9 negative quantities converted to absolute value
order_items    None     quantity           10 zero quantities replaced with 1
order_items    None     discount           6 discounts over 100% clamped to 0
order_items    None     discount           3 negative discounts clamped to 0
