order_item_id,order_id,product_id,quantity,unit_price,discount,line_total,item_id,discount_percent
1,1,312,4,9.45,0.0,37.8,1,0.0
2,1,299,2,1187.57,0.0,2375.14,2,0.0
3,2,113,6,1496.34,0.0,8978.04,3,0.0
4,2,280,1,620.63,0.0,620.63,4,0.0
5,2,283,6,1099.66,0.0,6597.96,5,0.0
6,3,368,6,1430.34,0.0,8582.04,6,0.0
7,3,149,4,967.69,0.0,3870.76,7,0.0
13,5,210,5,690.83,0.0,3454.15,13,0.0
14,5,283,4,414.32,0.26,1226.39,14,0.26
15,5,164,2,743.92,0.0,1487.84,15,0.0
17,5,350,5,252.28,0.36,807.3,17,0.36
18,6,453,7,156.18,0.0,1093.26,18,0.0
19,6,80,8,198.15,0.0,1585.2,19,0.0
20,6,171,5,1277.24,0.0,6386.2,20,0.0
21,7,497,5,1397.46,0.19,5659.71,21,0.19
22,7,211,3,451.35,0.0,1354.05,22,0.0
23,7,46,1,188.22,0.3,131.75,23,0.3
24,7,233,7,1358.99,0.0,9512.93,24,0.0
25,7,96,4,592.65,0.0,2370.6,25,0.0
26,8,90,1,1472.19,0.0,1472.19,26,0.0
27,8,263,1,1380.51,0.0,1380.51,27,0.0
28,9,83,2,740.29,0.0,1480.58,28,0.0
29,9,44,8,1249.84,0.0,9998.72,29,0.0
30,9,191,6,1125.61,0.0,6753.66,30,0.0
31,10,192,2,255.35,0.0,510.7,31,0.0
36,12,370,1,28.41,0.0,28.41,36,0.0
37,12,60,2,376.25,0.0,752.5,37,0.0
38,13,245,1,1109.77,0.0,1109.77,38,0.0
39,13,457,8,847.22,0.0,6777.76,39,0.0
40,13,205,8,279.82,0.0,2238.56,40,0.0
41,13,207,7,1281.79,0.0,8972.53,41,0.0
42,13,354,5,607.29,0.0,3036.45,42,0.0
43,13,112,1,427.59,0.0,427.59,43,0.0
44,14,25,6,1248.37,0.08,6891.0,44,0.08
45,14,418,1,338.97,0.38,210.16,45,0.38
46,14,333,3,171.99,0.0,515.97,46,0.0
47,15,221,8,64.29,0.0,514.32,47,0.0
48,16,58,6,1354.4,0.0,8126.4,48,0.0
49,17,123,4,603.96,0.0,2415.84,49,0.0
50,17,94,3,1196.49,0.0,3589.47,50,0.0
51,18,370,7,695.21,0.0,4866.47,51,0.0
52,18,283,1,1334.0,0.28,960.48,52,0.28
53,18,420,5,1238.81,0.0,6194.05,53,0.0
54,18,397,5,311.3,0.0,1556.5,54,0.0
55,18,200,1,690.5,0.0,690.5,55,0.0
56,19,276,7,334.28,0.0,2339.96,56,0.0
57,20,238,7,696.89,0.0,4878.23,57,0.0
58,20,121,4,1355.9,0.0,5423.6,58,0.0
59,20,54,8,419.53,0.0,3356.24,59,0.0
60,20,393,6,1087.19,0.0,6523.14,60,0.0
61,21,402,8,563.04,0.0,4504.32,61,0.0
62,21,496,1,231.26,0.0,231.26,62,0.0
63,21,89,3,674.45,0.0,2023.35,63,0.0
64,21,66,6,1277.64,0.0,7665.84,64,0.0
65,21,54,5,608.3,0.0,3041.5,65,0.0
66,22,389,5,235.11,0.0,1175.55,66,0.0
67,22,95,5,689.12,0.0,3445.6,67,0.0
68,23,175,1,694.68,0.0,694.68,68,0.0
69,23,25,8,361.73,0.0,2893.84,69,0.0
70,23,83,6,93.51,0.0,561.06,70,0.0
72,24,469,5,1360.91,0.0,6804.55,72,0.0
73,24,37,1,856.73,0.0,856.73,73,0.0
74,24,252,1,283.81,0.0,283.81,74,0.0
75,25,62,8,1336.4,0.0,10691.2,75,0.0
76,25,209,7,271.3,0.14,1633.23,76,0.14
77,25,17,1,685.86,0.0,685.86,77,0.0
80,27,454,8,1145.64,0.0,9165.12,80,0.0
81,27,265,2,1401.69,0.0,2803.38,81,0.0
82,27,78,4,506.45,0.0,2025.8,82,0.0
83,27,139,1,1023.48,0.0,1023.48,83,0.0
84,28,282,1,1087.31,0.38,674.13,84,0.38
85,28,188,5,705.89,0.0,3529.45,85,0.0
86,28,68,5,471.24,0.18,1932.08,86,0.18
87,28,343,1,975.54,0.0,975.54,87,0.0
88,29,135,1,254.59,0.0,254.59,88,0.0
89,29,339,1,256.71,0.0,256.71,89,0.0
90,29,487,3,1473.32,0.0,4419.96,90,0.0
91,30,5,6,592.4,0.26,2630.26,91,0.26
92,30,121,3,1222.26,0.0,3666.78,92,0.0
93,30,261,3,1451.46,0.0,4354.38,93,0.0
94,30,40,5,217.33,0.0,1086.65,94,0.0
95,31,127,2,588.43,0.0,1176.86,95,0.0
96,31,251,8,1261.77,0.0,10094.16,96,0.0
97,31,460,4,427.53,0.25,1282.59,97,0.25
98,32,103,4,1250.63,0.0,5002.52,98,0.0
99,32,296,7,1417.11,0.0,9919.77,99,0.0
100,32,247,7,550.06,0.07,3580.89,100,0.07
101,32,316,7,58.29,0.0,408.03,101,0.0
102,32,459,2,677.1,0.0,1354.2,102,0.0
103,33,256,4,1056.55,0.0,4226.2,103,0.0
104,33,319,6,918.05,0.0,5508.3,104,0.0
105,34,374,7,467.51,0.0,3272.57,105,0.0
106,34,348,2,947.77,0.0,1895.54,106,0.0
107,34,342,2,803.71,0.33,1076.97,107,0.33
108,34,371,1,1492.93,0.0,1492.93,108,0.0
109,34,399,3,352.68,0.0,1058.04,109,0.0
110,34,69,8,525.71,0.0,4205.68,110,0.0
111,35,164,2,852.2,0.0,1704.4,111,0.0
112,35,465,6,1483.08,0.0,8898.48,112,0.0
114,37,298,1,227.66,0.0,227.66,114,0.0
115,37,295,5,133.14,0.0,665.7,115,0.0
117,38,187,7,513.62,0.0,3595.34,117,0.0
118,39,497,7,872.78,0.0,6109.46,118,0.0
119,40,195,7,570.46,0.0,3993.22,119,0.0
120,40,157,6,1108.23,0.0,6649.38,120,0.0
121,40,101,5,647.58,0.0,3237.9,121,0.0
122,40,62,8,152.64,0.0,1221.12,122,0.0
123,40,96,3,1460.05,0.3,3066.1,123,0.3
124,41,343,1,155.89,0.0,155.89,124,0.0
125,42,91,6,312.64,0.0,1875.84,125,0.0
126,42,87,1,330.28,0.0,330.28,126,0.0
127,42,333,4,662.04,0.0,2648.16,127,0.0
128,42,40,2,525.6,0.0,1051.2,128,0.0
129,42,229,6,952.46,0.0,5714.76,129,0.0
130,42,484,6,215.4,0.0,1292.4,130,0.0
131,43,76,3,1159.87,0.0,3479.61,131,0.0
132,43,353,5,154.46,0.24,586.95,132,0.24
133,43,289,2,297.22,0.0,594.44,133,0.0
134,43,472,4,1449.68,0.0,5798.72,134,0.0
135,43,57,7,646.86,0.0,4528.02,135,0.0
136,43,6,4,1043.02,0.0,4172.08,136,0.0
137,44,196,3,1372.04,0.0,4116.12,137,0.0
138,44,192,2,457.34,0.0,914.68,138,0.0
140,46,284,4,668.46,0.0,2673.84,140,0.0
141,47,232,7,1325.84,0.0,9280.88,141,0.0
142,47,312,6,1199.88,0.0,7199.28,142,0.0
143,47,134,2,1354.34,0.0,2708.68,143,0.0
144,47,140,8,630.15,0.0,5041.2,144,0.0
145,47,302,5,591.5,0.38,1833.65,145,0.38
146,47,210,1,786.65,0.0,786.65,146,0.0
149,49,452,7,987.98,0.0,6915.86,149,0.0
150,49,76,5,756.36,0.0,3781.8,150,0.0
151,49,50,2,517.02,0.0,1034.04,151,0.0
152,49,388,4,854.33,0.0,3417.32,152,0.0
153,50,173,3,912.07,0.0,2736.21,153,0.0
154,50,375,3,872.67,0.0,2618.01,154,0.0
155,50,359,5,1366.45,0.36,4372.64,155,0.36
156,50,183,1,218.19,0.0,218.19,156,0.0
157,50,489,8,1118.16,0.0,8945.28,157,0.0
