month_key,revenue,prev_month_revenue,change_amount,change_pct
2022-08,169315.67,,,
2022-09,448316.89,169315.67,279001.22,164.78
2022-10,505313.09,448316.89,56996.2,12.71
2022-11,579426.29,505313.09,74113.2,14.67
2022-12,433249.22,579426.29,-146177.07,-25.23
2023-01,474166.89,433249.22,40917.67,9.44
2023-02,492115.69,474166.89,17948.8,3.79
2023-03,816988.21,492115.69,324872.52,66.02
2023-04,380788.55,816988.21,-436199.66,-53.39
2023-05,525976.35,380788.55,145187.8,38.13
2023-06,500703.19,525976.35,-25273.16,-4.8
2023-07,358415.29,500703.19,-142287.9,-28.42
2023-08,500135.71,358415.29,141720.42,39.54
2023-09,307886.26,500135.71,-192249.45,-38.44
2023-10,521257.87,307886.26,213371.61,69.3
2023-11,634707.91,521257.87,113450.04,21.76
2023-12,551441.51,634707.91,-83266.4,-13.12
2024-01,467424.66,551441.51,-84016.85,-15.24
2024-02,559429.75,467424.66,92005.09,19.68
2024-03,296840.73,559429.75,-262589.02,-46.94
2024-04,430576.1,296840.73,133735.37,45.05
2024-05,477783.76,430576.1,47207.66,10.96
2024-06,517811.95,477783.76,40028.19,8.38
2024-07,524887.15,517811.95,7075.2,1.37
2024-08,551862.9,524887.15,26975.75,5.14
2024-09,600402.95,551862.9,48540.05,8.8
2024-10,549644.09,600402.95,-50758.86,-8.45
2024-11,640227.26,549644.09,90583.17,16.48
2024-12,502556.36,640227.26,-137670.9,-21.5
2025-01,553549.85,502556.36,50993.49,10.15
2025-02,405833.2,553549.85,-147716.65,-26.69
2025-03,583719.19,405833.2,177885.99,43.83
2025-04,508531.43,583719.19,-75187.76,-12.88
2025-05,626468.34,508531.43,117936.91,23.19
2025-06,646369.12,626468.34,19900.78,3.18
2025-07,667043.61,646369.12,20674.49,3.2
2025-08,438000.43,667043.61,-229043.18,-34.34
2025-09,430189.0,438000.43,-7811.43,-1.78
2025-10,382707.42,430189.0,-47481.58,-11.04
2025-11,548115.45,382707.42,165408.03,43.22
2025-12,491365.19,548115.45,-56750.26,-10.35
2026-01,421779.55,491365.19,-69585.64,-14.16
2026-02,506554.79,421779.55,84775.24,20.1
2026-03,418237.13,506554.79,-88317.66,-17.43
2026-04,415098.22,418237.13,-3138.91,-0.75
2026-05,473643.95,415098.22,58545.73,14.1
2026-06,448831.38,473643.95,-24812.57,-5.24
2026-07,536338.43,448831.38,87507.05,19.5
2026-08,383442.78,536338.43,-152895.65,-28.51
