year,category,category_revenue,total_revenue,share_pct
2022,Electronics,272731.48,2135621.16,12.77
2022,Toys,246907.58,2135621.16,11.56
2022,Books,239473.93,2135621.16,11.21
2022,Automotive,222099.36,2135621.16,10.4
2022,Office,216935.28,2135621.16,10.16
2022,Beauty,214999.74,2135621.16,10.07
2022,Grocery,181321.54,2135621.16,8.49
2022,Clothing,180767.19,2135621.16,8.46
2022,Sports,174040.61,2135621.16,8.15
2022,Home & Kitchen,171034.65,2135621.16,8.01
2022,Uncategorized,15309.8,2135621.16,0.72
2023,Electronics,795867.62,6064583.43,13.12
2023,Books,726897.94,6064583.43,11.99
2023,Toys,642454.81,6064583.43,10.59
2023,Automotive,590793.79,6064583.43,9.74
2023,Clothing,578844.57,6064583.43,9.54
2023,Home & Kitchen,553256.29,6064583.43,9.12
2023,Sports,550394.92,6064583.43,9.08
2023,Office,547476.38,6064583.43,9.03
2023,Beauty,537721.87,6064583.43,8.87
2023,Grocery,476546.99,6064583.43,7.86
2023,Uncategorized,64328.25,6064583.43,1.06
2024,Electronics,786115.32,6119447.66,12.85
2024,Office,764986.53,6119447.66,12.5
2024,Toys,754614.67,6119447.66,12.33
2024,Books,622073.51,6119447.66,10.17
2024,Clothing,608544.58,6119447.66,9.94
2024,Sports,605241.24,6119447.66,9.89
2024,Beauty,512699.46,6119447.66,8.38
2024,Grocery,510638.43,6119447.66,8.34
2024,Home & Kitchen,453810.92,6119447.66,7.42
2024,Automotive,438896.7,6119447.66,7.17
2024,Uncategorized,61826.3,6119447.66,1.01
2025,Toys,829782.7,6281892.23,13.21
2025,Electronics,731407.75,6281892.23,11.64
2025,Books,668001.77,6281892.23,10.63
2025,Sports,649269.66,6281892.23,10.34
2025,Office,616656.71,6281892.23,9.82
2025,Clothing,573477.23,6281892.23,9.13
2025,Grocery,565477.75,6281892.23,9.0
2025,Beauty,540157.53,6281892.23,8.6
2025,Automotive,520612.65,6281892.23,8.29
2025,Home & Kitchen,487079.81,6281892.23,7.75
2025,Uncategorized,99968.67,6281892.23,1.59
2026,Office,475783.11,3603926.23,13.2
2026,Toys,431843.26,3603926.23,11.98
2026,Books,386701.24,3603926.23,10.73
2026,Clothing,378712.05,3603926.23,10.51
2026,Sports,372835.56,3603926.23,10.35
2026,Beauty,353238.43,3603926.23,9.8
2026,Electronics,346138.91,3603926.23,9.6
2026,Home & Kitchen,286864.97,3603926.23,7.96
2026,Grocery,276961.99,3603926.23,7.69
2026,Automotive,263908.02,3603926.23,7.32
2026,Uncategorized,30938.69,3603926.23,0.86
