customer_id,order_id,order_date,order_value,row_num,rank,dense_rank,prev_order_value,next_order_value,running_customer_total
1,1078,2022-12-31,6174.18,1,5,5,,8258.38,6174.18
1,471,2024-12-27,8258.38,2,4,4,6174.18,10875.61,14432.56
1,895,2025-07-24,10875.61,3,2,2,8258.38,8966.91,25308.17
1,3152,2025-11-12,8966.91,4,3,3,10875.61,11390.21,34275.08
1,1227,2026-04-08,11390.21,5,1,1,8966.91,,45665.29
2,1939,2022-09-08,1097.41,1,6,6,,6934.48,1097.41
2,2182,2024-08-02,6934.48,2,5,5,1097.41,12287.52,8031.89
2,1351,2025-03-23,12287.52,3,2,2,6934.48,10205.4,20319.41
2,669,2025-05-02,10205.4,4,3,3,12287.52,8181.65,30524.81
2,1508,2025-05-10,8181.65,5,4,4,10205.4,22326.95,38706.46
2,3012,2026-07-17,22326.95,6,1,1,8181.65,,61033.41
3,870,2023-05-12,7195.84,1,3,3,,19420.72,7195.84
3,1786,2023-07-15,19420.72,2,2,2,7195.84,29133.48,26616.56
3,2669,2023-11-22,29133.48,3,1,1,19420.72,1334.14,55750.04
3,1629,2024-08-18,1334.14,4,5,5,29133.48,2053.22,57084.18
3,1647,2026-07-20,2053.22,5,4,4,1334.14,,59137.4
4,936,2026-01-16,2995.68,1,3,3,,25746.62,2995.68
4,681,2026-05-04,25746.62,2,1,1,2995.68,17423.12,28742.3
4,3367,2026-06-16,17423.12,3,2,2,25746.62,,46165.42
5,371,2024-06-24,13765.58,1,1,1,,,13765.58
6,3329,2023-03-31,106.64,1,4,4,,2767.86,106.64
6,151,2024-02-08,2767.86,2,3,3,106.64,8596.89,2874.5
6,3435,2026-01-12,8596.89,3,2,2,2767.86,14081.02,11471.39
6,3092,2026-04-06,14081.02,4,1,1,8596.89,,25552.41
7,219,2023-08-06,14212.2,1,1,1,,10927.06,14212.2
7,1449,2024-06-01,10927.06,2,3,3,14212.2,13590.42,25139.26
7,643,2025-03-25,13590.42,3,2,2,10927.06,5705.44,38729.68
7,1880,2025-04-15,5705.44,4,4,4,13590.42,,44435.12
8,762,2022-12-20,11786.45,1,2,2,,481.85,11786.45
8,3128,2023-01-26,481.85,2,6,6,11786.45,2443.02,12268.3
8,1851,2023-11-23,2443.02,3,5,5,481.85,19107.45,14711.32
8,260,2024-06-14,19107.45,4,1,1,2443.02,10844.32,33818.77
8,889,2024-12-12,10844.32,5,3,3,19107.45,5642.84,44663.09
8,2210,2026-03-02,5642.84,6,4,4,10844.32,,50305.93
