year,month,current_revenue,prior_year_revenue,absolute_change,change_pct
2022,8,169315.67,,,
2022,9,448316.89,,,
2022,10,505313.09,,,
2022,11,579426.29,,,
2022,12,433249.22,,,
2023,1,474166.89,,,
2023,2,492115.69,,,
2023,3,816988.21,,,
2023,4,380788.55,,,
2023,5,525976.35,,,
2023,6,500703.19,,,
2023,7,358415.29,,,
2023,8,500135.71,169315.67,330820.04,195.39
2023,9,307886.26,448316.89,-140430.63,-31.32
2023,10,521257.87,505313.09,15944.78,3.16
2023,11,634707.91,579426.29,55281.62,9.54
2023,12,551441.51,433249.22,118192.29,27.28
2024,1,467424.66,474166.89,-6742.23,-1.42
2024,2,559429.75,492115.69,67314.06,13.68
2024,3,296840.73,816988.21,-520147.48,-63.67
2024,4,430576.1,380788.55,49787.55,13.07
2024,5,477783.76,525976.35,-48192.59,-9.16
2024,6,517811.95,500703.19,17108.76,3.42
2024,7,524887.15,358415.29,166471.86,46.45
2024,8,551862.9,500135.71,51727.19,10.34
2024,9,600402.95,307886.26,292516.69,95.01
2024,10,549644.09,521257.87,28386.22,5.45
2024,11,640227.26,634707.91,5519.35,0.87
2024,12,502556.36,551441.51,-48885.15,-8.86
2025,1,553549.85,467424.66,86125.19,18.43
2025,2,405833.2,559429.75,-153596.55,-27.46
2025,3,583719.19,296840.73,286878.46,96.64
2025,4,508531.43,430576.1,77955.33,18.1
2025,5,626468.34,477783.76,148684.58,31.12
2025,6,646369.12,517811.95,128557.17,24.83
2025,7,667043.61,524887.15,142156.46,27.08
2025,8,438000.43,551862.9,-113862.47,-20.63
2025,9,430189.0,600402.95,-170213.95,-28.35
2025,10,382707.42,549644.09,-166936.67,-30.37
2025,11,548115.45,640227.26,-92111.81,-14.39
2025,12,491365.19,502556.36,-11191.17,-2.23
2026,1,421779.55,553549.85,-131770.3,-23.8
2026,2,506554.79,405833.2,100721.59,24.82
2026,3,418237.13,583719.19,-165482.06,-28.35
2026,4,415098.22,508531.43,-93433.21,-18.37
2026,5,473643.95,626468.34,-152824.39,-24.39
2026,6,448831.38,646369.12,-197537.74,-30.56
2026,7,536338.43,667043.61,-130705.18,-19.59
2026,8,383442.78,438000.43,-54557.65,-12.46
